id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
aws:README.md,aws,README.md,.md,667,54e9659afb6de9bfb85b7a07b9e22953c8bbaba9084de3adbe27287ab0067aa3,documentation,cloud/utilities,aws cloud/utilities helper: README.,REVIEW,False,[],False,README.md
aws:archive/bundles/lambda/lambda_function.zip,aws,archive/bundles/lambda/lambda_function.zip,.zip,3073937,83295830e96d699d9452b0ad286a4fc61e38c57ff4369ef5d067090c3427e0f5,archive_bundle,bundles,aws bundles helper: lambda function.,REVIEW,False,"['A', 'A7', 'AH', 'AL', 'B', 'C', 'CN9', 'CVC', 'D7qEw', 'D_PK', 'E', 'ECY', 'EgZ8Q', 'Ej7', 'EjHZ', 'En', 'EuU', 'G', 'H', 'I', 'IP', 'J', 'K', 'KUX', 'KZ', 'Kl', 'Kt', 'Ku', 'Kv', 'Kx', 'Ln', 'M0', 'ME', 'MF', 'MS', 'NK', 'O', 'O9Uh', 'Oo', 'Oy9p', 'PLj', 'Q6j', 'Q8', 'QI', 'Qx', 'R', 'S', 'SdA', 'Sm', 'Sw']",False,archive/bundles/lambda/lambda_function.zip
aws:config/cloudformation/rds/OracleRDS.json,aws,config/cloudformation/rds/OracleRDS.json,.json,515,a3aad05ee48135ee7e00b6ca922845329700c4f4e5bcf1fc95c6697ddb21910f,config,cloudformation,aws cloudformation helper: OracleRDS.,CONFIG,False,"['DBInstance', 'RDS']",False,config/cloudformation/rds/OracleRDS.json
aws:config/cloudformation/rds/OracleRDS2.yml,aws,config/cloudformation/rds/OracleRDS2.yml,.yml,518,76613c32f6a15f03109bbb2f3df3d78ef689705947d0a1a613c775b7a88e41a8,config,cloudformation,'AWS CloudFormation Template for Oracle RDS',CONFIG,False,"['DBInstance', 'RDS']",False,config/cloudformation/rds/OracleRDS2.yml
aws:config/cloudformation/rds/rds-mysql.template,aws,config/cloudformation/rds/rds-mysql.template,.template,3272,e67f8094ab9262a93b46ad5d7285bf85c26676c194bfa91d511aae1edc1c991b,config,cloudformation,aws cloudformation helper: rds mysql.,CHANGES,False,"['DBInstance', 'RDS']",False,config/cloudformation/rds/rds-mysql.template
aws:config/cloudformation/rds-pg-import.json,aws,config/cloudformation/rds-pg-import.json,.json,612,873e10dbf6caee6c41e7d5eb99ad2b378a66316fca76b3937790060e2cb17784,config,cloudformation,aws cloudformation helper: rds pg import.,CONFIG,False,"['DBInstance', 'RDS']",False,config/cloudformation/rds-pg-import.json
aws:config/cloudformation/rds-pg-labs-main.yml,aws,config/cloudformation/rds-pg-labs-main.yml,.yml,4309,33fc7fd7561bca9612c877b593e888dee8e37e9186c2ab15f6d0c7e9d8492a96,config,cloudformation,Amazon RDS PostgreSQL Labs Stackset,CHANGES,True,"['CloudFormation', 'Interface', 'Stack']",False,config/cloudformation/rds-pg-labs-main.yml
aws:config/cloudformation/rds-pg-labs-vpc.yml,aws,config/cloudformation/rds-pg-labs-vpc.yml,.yml,7789,5b0b9f964f1554af802edd58b1c408ca7deb941832b3bc1d3fa13057a378a957,config,cloudformation,Amazon RDS PostgreSQL Labs VPC Stack,CHANGES,True,"['Cidr', 'EC2', 'EIP', 'InternetGateway', 'NatGateway', 'Region', 'Route', 'RouteTable', 'StackName', 'Subnet', 'SubnetRouteTableAssociation', 'VPC', 'VPCGatewayAttachment']",False,config/cloudformation/rds-pg-labs-vpc.yml
aws:config/cloudformation/rds-pg.json,aws,config/cloudformation/rds-pg.json,.json,1259,ce5741e804330f74bbef1bc4045844f6e6124ad7eeefeac4951a0afc5f2471aa,config,cloudformation,aws cloudformation helper: rds pg.,CONFIG,False,"['CloudFormation', 'DBInstance', 'Designer', 'RDS']",False,config/cloudformation/rds-pg.json
aws:config/cloudformation/rds.aupg_cluster_instances_mysql.yml,aws,config/cloudformation/rds.aupg_cluster_instances_mysql.yml,.yml,1738,1831724da8e88c5591d6d84f49c4f5c8b3c99cfc75ea1230cff65aaf7901860d,config,cloudformation,Username for Aurora MySQL database access,READ_ONLY,False,"['DBCluster', 'DBClusterParameterGroup', 'DBInstance', 'DBParameterGroup', 'RDS']",False,config/cloudformation/rds.aupg_cluster_instances_mysql.yml
