source,destination,kind,category,applied
RMAN/10gR2_PhysicalStandByWithReal-Time.doc,docs/backup_recovery/rman/legacy_rman/10gR2_PhysicalStandByWithReal-Time.doc,documentation,backup_recovery/rman,yes
RMAN/ClonarBase/ClonarBase.cmd,scripts/backup_recovery/rman/legacy_rman/clonarbase/ClonarBase.cmd,script,backup_recovery/rman,yes
RMAN/ClonarBaseconRMAN.doc,docs/backup_recovery/rman/legacy_rman/ClonarBaseconRMAN.doc,documentation,backup_recovery/rman,yes
RMAN/Clonar_Database.pdf,docs/backup_recovery/rman/legacy_rman/Clonar_Database.pdf,documentation,backup_recovery/rman,yes
RMAN/Comandos.txt,docs/backup_recovery/rman/legacy_rman/Comandos.txt,documentation,backup_recovery/rman,yes
RMAN/Como configurar una arquitectura de alta disponibilidad con Oracle Standard Edition.doc,docs/backup_recovery/rman/legacy_rman/Como configurar una arquitectura de alta disponibilidad con Oracle Standard Edition.doc,documentation,backup_recovery/rman,yes
RMAN/Como montar un Oracle DataGuard con Phisical Standby en Oracle 10g.doc,docs/backup_recovery/rman/legacy_rman/Como montar un Oracle DataGuard con Phisical Standby en Oracle 10g.doc,documentation,backup_recovery/rman,yes
RMAN/ConsultasSQL.txt,docs/backup_recovery/rman/legacy_rman/ConsultasSQL.txt,documentation,backup_recovery/rman,yes
RMAN/CreacBaseDBA/CloneRmanRestore.sql,scripts/backup_recovery/rman/legacy_rman/creacbasedba/CloneRmanRestore.sql,script,backup_recovery/rman,yes
RMAN/CreacBaseDBA/cloneDBCreation.sql,scripts/backup_recovery/rman/legacy_rman/creacbasedba/cloneDBCreation.sql,script,backup_recovery/rman,yes
RMAN/CreacBaseDBA/dba.bat,scripts/backup_recovery/rman/legacy_rman/creacbasedba/dba.bat,script,backup_recovery/rman,yes
RMAN/CreacBaseDBA/dba.sql,scripts/backup_recovery/rman/legacy_rman/creacbasedba/dba.sql,script,backup_recovery/rman,yes
RMAN/CreacBaseDBA/init.ora,config/legacy_rman/creacbasedba/init.ora,config,backup_recovery/rman,yes
RMAN/CreacBaseDBA/initdbaTemp.ora,config/legacy_rman/creacbasedba/initdbaTemp.ora,config,backup_recovery/rman,yes
RMAN/CreacBaseDBA/postDBCreation.sql,scripts/backup_recovery/rman/legacy_rman/creacbasedba/postDBCreation.sql,script,backup_recovery/rman,yes
RMAN/CreacBaseDBA/postScripts.sql,scripts/backup_recovery/rman/legacy_rman/creacbasedba/postScripts.sql,script,backup_recovery/rman,yes
RMAN/Crear y Configurar un Catálogo RMAN.doc,docs/backup_recovery/rman/legacy_rman/Crear y Configurar un Catálogo RMAN.doc,documentation,backup_recovery/rman,yes
RMAN/Creating Physical Standby using RMAN Duplicate Without Shutting down The Primary.pdf,docs/backup_recovery/rman/legacy_rman/Creating Physical Standby using RMAN Duplicate Without Shutting down The Primary.pdf,documentation,backup_recovery/rman,yes
RMAN/Habilitar Archivado de Logs.doc,docs/backup_recovery/rman/legacy_rman/Habilitar Archivado de Logs.doc,documentation,backup_recovery/rman,yes
RMAN/IncrementalCM.rman,scripts/backup_recovery/rman/legacy_rman/IncrementalCM.rman,script,backup_recovery/rman,yes
RMAN/NombreArchivoyTamanChangeTraking.txt,docs/backup_recovery/rman/legacy_rman/NombreArchivoyTamanChangeTraking.txt,documentation,backup_recovery/rman,yes
RMAN/PasosParaRestaurarBasedesdeRMANenOtroServer.txt,docs/backup_recovery/rman/legacy_rman/PasosParaRestaurarBasedesdeRMANenOtroServer.txt,documentation,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaBKPDatafile.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaBKPDatafile.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaBKPFull.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaBKPFull.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaRestoreDatafile.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaRestoreDatafile.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaRestoreFull.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaRestoreFull.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaRestoreTablespace.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaRestoreTablespace.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecutaRestoreTime.sh,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecutaRestoreTime.sh,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/ejecuta_mail.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/ejecuta_mail.sql,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/full.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/full.sql,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/restoreDatafile.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/restoreDatafile.sql,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/restoreFull.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/restoreFull.sql,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/restoreTablespace.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/restoreTablespace.sql,script,backup_recovery/rman,yes
RMAN/RMAN/Scripts-PERU-PROD/scripts_rman/restoreTime.sql,scripts/backup_recovery/rman/legacy_rman/scripts_peru_prod/scripts_rman/restoreTime.sql,script,backup_recovery/rman,yes
RMAN/RMAN/level0.cmd,scripts/backup_recovery/rman/legacy_rman/level0.cmd,script,backup_recovery/rman,yes
RMAN/RMAN/level1.cmd,scripts/backup_recovery/rman/legacy_rman/level1.cmd,script,backup_recovery/rman,yes
RMAN/RMAN/restoreFull.cmd,scripts/backup_recovery/rman/legacy_rman/restoreFull.cmd,script,backup_recovery/rman,yes
RMAN/RMAN Incremental Backups.doc,docs/backup_recovery/rman/legacy_rman/RMAN Incremental Backups.doc,documentation,backup_recovery/rman,yes
RMAN/RMAN-BlockChangeTracking.doc,docs/backup_recovery/rman/legacy_rman/RMAN-BlockChangeTracking.doc,documentation,backup_recovery/rman,yes
RMAN/RMAN.PolBackup.pdf,docs/backup_recovery/rman/legacy_rman/RMAN.PolBackup.pdf,documentation,backup_recovery/rman,yes
RMAN/RManIncrementalMerge(forRecover).doc,docs/backup_recovery/rman/legacy_rman/RManIncrementalMerge(forRecover).doc,documentation,backup_recovery/rman,yes
RMAN/ReplicarRMAN.doc,docs/backup_recovery/rman/legacy_rman/ReplicarRMAN.doc,documentation,backup_recovery/rman,yes
RMAN/Restaurar un Backup de RMAN en otro Servidor.doc,docs/backup_recovery/rman/legacy_rman/Restaurar un Backup de RMAN en otro Servidor.doc,documentation,backup_recovery/rman,yes
RMAN/RestaurarRMANSinBase!!!.sh,scripts/backup_recovery/rman/legacy_rman/RestaurarRMANSinBase!!!.sh,script,backup_recovery/rman,yes
RMAN/RestaurarRMANSinBase!!!.txt,docs/backup_recovery/rman/legacy_rman/RestaurarRMANSinBase!!!.txt,documentation,backup_recovery/rman,yes
RMAN/RestaurarRMANSinBase!!!Windows.txt,docs/backup_recovery/rman/legacy_rman/RestaurarRMANSinBase!!!Windows.txt,documentation,backup_recovery/rman,yes
RMAN/RestoreUntilSequence.sql,scripts/backup_recovery/rman/legacy_rman/RestoreUntilSequence.sql,script,backup_recovery/rman,yes
RMAN/Rman y cómo catalogar Backups.doc,docs/backup_recovery/rman/legacy_rman/Rman y cómo catalogar Backups.doc,documentation,backup_recovery/rman,yes
RMAN/RmanCreateScripts.sql,scripts/backup_recovery/rman/legacy_rman/RmanCreateScripts.sql,script,backup_recovery/rman,yes
RMAN/Scripts/LinuxLVL0.sh,scripts/backup_recovery/rman/legacy_rman/scripts/LinuxLVL0.sh,script,backup_recovery/rman,yes
RMAN/Scripts/LinuxLVL1.sh,scripts/backup_recovery/rman/legacy_rman/scripts/LinuxLVL1.sh,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/CPData/CopyDatRMAN.rman,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/cpdata/CopyDatRMAN.rman,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/CPData/ExecControlF.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/cpdata/ExecControlF.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/CPData/ExecRman.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/cpdata/ExecRman.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/CPData/cStandByCtl.sql,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/cpdata/cStandByCtl.sql,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/CPData/logs/log_rman_copy_CM.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/cpdata/logs/log_rman_copy_CM.log,generated_output,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/Borrar_Archives.vbs,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/Borrar_Archives.vbs,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/CONTROLFSTB.CTL,archive/review/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/CONTROLFSTB.CTL,unknown,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/Copiar_Archives.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/Copiar_Archives.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/Copiar_Datafiles.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/Copiar_Datafiles.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/ExecRecover.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/ExecRecover.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/INITcm.ORA,config/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/INITcm.ORA,config,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/INITcmSwitch.ORA,config/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/INITcmSwitch.ORA,config,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/SwitchBackSTB.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/SwitchBackSTB.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/SwitchOverSTB.bat,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/SwitchOverSTB.bat,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/cRecoverSTB.sql,scripts/backup_recovery/rman/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/cRecoverSTB.sql,script,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/logs/copia_archives.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/logs/copia_archives.log,generated_output,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/logs/copia_datafiles.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/logs/copia_datafiles.log,generated_output,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/logs/log_recover.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/logs/log_recover.log,generated_output,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/logs/switchBack.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/logs/switchBack.log,generated_output,backup_recovery/rman,yes
RMAN/Scripts/scriptsRMANCopy/scripts/Scripts/logs/switchOver.log,generated/legacy_rman/scripts/scriptsrmancopy/scripts/scripts/logs/switchOver.log,generated_output,backup_recovery/rman,yes
RMAN/UltimoSCNRMAN.txt,docs/backup_recovery/rman/legacy_rman/UltimoSCNRMAN.txt,documentation,backup_recovery/rman,yes
RMAN/VariablesdeRMAN.doc,docs/backup_recovery/rman/legacy_rman/VariablesdeRMAN.doc,documentation,backup_recovery/rman,yes
RMAN/Varios/BkpBin.cmd,scripts/backup_recovery/rman/legacy_rman/varios/BkpBin.cmd,script,backup_recovery/rman,yes
RMAN/Varios/BkpPASS.cmd,scripts/backup_recovery/rman/legacy_rman/varios/BkpPASS.cmd,script,backup_recovery/rman,yes
RMAN/Varios/RestoreTime.sql,scripts/backup_recovery/rman/legacy_rman/varios/RestoreTime.sql,script,backup_recovery/rman,yes
RMAN/Varios/backdatafile3.sql,scripts/backup_recovery/rman/legacy_rman/varios/backdatafile3.sql,script,backup_recovery/rman,yes
