
Mar Nov 11                                                                                                   página    1
                                                            

LANG I                                                                                                                  
==== =                                                                                                                  
US   B                                                                                                                  
VN   D                                                                                                                  
CA   D                                                                                                                  
CS   D                                                                                                                  
D    D                                                                                                                  
DK   D                                                                                                                  
E    D                                                                                                                  
EG   D                                                                                                                  
EL   D                                                                                                                  
F    D                                                                                                                  
FRC  D                                                                                                                  
GB   D                                                                                                                  
HR   D                                                                                                                  
HU   D                                                                                                                  
I    D                                                                                                                  
IS   D                                                                                                                  
IW   D                                                                                                                  
AR   D                                                                                                                  
BG   D                                                                                                                  
SQ   D                                                                                                                  
TR   D                                                                                                                  
SL   D                                                                                                                  
SK   D                                                                                                                  
SF   D                                                                                                                  
S    D                                                                                                                  
LT   D                                                                                                                  
N    D                                                                                                                  
NL   D                                                                                                                  
PL   D                                                                                                                  
PT   D                                                                                                                  
RO   D                                                                                                                  
RU   D                                                                                                                  
ZHT  I                                                                                                                  
TH   I                                                                                                                  
ZHS  I                                                                                                                  
ESA  I                                                                                                                  
PTB  I                                                                                                                  
KO   I                                                                                                                  
JA   I                                                                                                                  
