
Owner                Name                      Type                      Memory Used                                                                                                                    
==================== ========================= ========================= ===========                                                                                                                    
BRFC_DW              BI_LOAD_RDW_PK            PACKAGE BODY                  1555134                                                                                                                    
SVCO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   557745                                                                                                                    
SYS                  DBMS_STATS                PACKAGE BODY                   543910                                                                                                                    
SYS                  DBMS_RCVMAN               PACKAGE BODY                   447199                                                                                                                    
CRCO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   428841                                                                                                                    
HNCO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   421009                                                                                                                    
PACO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   420841                                                                                                                    
NICO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   420793                                                                                                                    
GTCO_DW              IL_LOAD_TABLES_PK         PACKAGE BODY                   420689                                                                                                                    
BRFC_DW              BI_LOAD_BACEN_RDW_PK      PACKAGE BODY                   367124                                                                                                                    
BRFC_DW              BI_LOAD_ACC_ADJ_RDW_PK    PACKAGE BODY                   334726                                                                                                                    
BRFC_DW              BI_LOAD_CASHFLOW_RDW_PK   PACKAGE BODY                   317263                                                                                                                    
SYS                  KUPM$MCP                  PACKAGE BODY                   314372                                                                                                                    
HNCO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   296905                                                                                                                    
PACO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   296641                                                                                                                    
NICO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   296593                                                                                                                    
GTCO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   296561                                                                                                                    
CRCO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   296513                                                                                                                    
SYS                  KUPW$WORKER               PACKAGE BODY                   295815                                                                                                                    
SVCO_DW              DW_LOAD_TABLES_PK         PACKAGE BODY                   295761                                                                                                                    
SYS                  DBMS_REPCAT_UTL           PACKAGE BODY                   275003                                                                                                                    
BRFC_DW              BI_LOAD_STATIC_TABLES_RDW PACKAGE BODY                   274644                                                                                                                    
                     _PK                                                                                                                                                                                
                                                                                                                                                                                                        
SYS                  DBMS_AQADM_SYS            PACKAGE BODY                   253362                                                                                                                    
SYS                  DBMS_METADATA_INT         PACKAGE BODY                   239997                                                                                                                    
BFI                  BI_LOAD_HIST_TABLES_PK    PACKAGE BODY                   201826                                                                                                                    
TNEC                 DW_SMART_PK_G             PACKAGE BODY                   196298                                                                                                                    
BFI                  BI_CLE_TREC_PK            PACKAGE BODY                   189290                                                                                                                    
