
Tue Dec 02                                                                                                                                                                                                                                                                                                                                                                                             page    1
                                                                                                                                                                                            Shared Pool Utilization

NOPR INST_ID USERS           GARBAGE         GOOD            GOOD_PERCENT
---- ------- --------------- --------------- --------------- --------------
   1 1       AML_LINK             2,843,188         253,028           8.172
   1 1       BFI                 39,583,333      35,050,556          46.963
   1 1       BOBJ_RDW_BROWSE        696,475          61,130           8.069
   1 1       COL_LINK                89,244          54,698          38.000
   1 1       DBADMIN             15,513,688       4,241,205          21.469
   1 1       DBA_DC22057          7,459,637          33,882            .452
   1 1       DBSNMP               4,104,114       2,056,820          33.385
   1 1       EMER_GP33075         3,221,920         261,501           7.507
   1 1       EMER_JO25673         2,728,864         818,372          23.071
   1 1       EMER_PT08341           313,962          85,689          21.441
   1 1       EM_MONITOR           4,336,141         793,526          15.469
   1 1       GENESIS                253,500          68,188          21.197
   1 1       LRR_FE                 440,394         254,278          36.604
   1 1       PYFC_OYT               110,340          12,183           9.943
   1 1       SVCO_SM                 45,114         426,957          90.443
   1 1       SYS                 31,991,649      40,808,058          56.055
   2 ------- -------------   --------------  --------------  --------------
   3       1 16                 113,731,563      85,280,071          42.852
