old  12:                 snp.dbid            = &m_dbid
new  12:                 snp.dbid            = 3990489666
old  13:         and     snp.instance_number = &m_instance
new  13:         and     snp.instance_number =          1
old  19:         and     sst.stat_name       like ('%&m_stat_name%')
new  19:         and     sst.stat_name       like ('%CPU used by this session%')

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-13 23:00:18          508,977 CPU used by this session                                                        0         -508,977
May-13 23:00:18                0 IPC CPU used by this session                                              605,067          605,067
May-13 23:00:18          508,977 CPU used by this session                                                        0         -508,977
May-13 23:00:18          508,977 CPU used by this session                                                  605,067           96,090
May-13 23:00:18                0 global enqueue CPU used by this session                                         0                0
May-13 23:00:18                0 global enqueue CPU used by this session                                         0                0
May-13 23:00:18                0 global enqueue CPU used by this session                                         0                0
May-13 23:00:18                0 global enqueue CPU used by this session                                   605,067          605,067
May-13 23:00:18                0 gc CPU used by this session                                                     0                0
May-13 23:00:18                0 gc CPU used by this session                                                     0                0
May-13 23:00:18                0 gc CPU used by this session                                                     0                0
May-13 23:00:18                0 gc CPU used by this session                                               605,067          605,067
May-13 23:00:18                0 IPC CPU used by this session                                                    0                0
May-13 23:00:18                0 IPC CPU used by this session                                                    0                0
May-13 23:00:18                0 IPC CPU used by this session                                                    0                0
May-13 23:00:18          508,977 CPU used by this session                                                        0         -508,977
May-14 00:00:32          605,067 CPU used by this session                                                        0         -605,067
May-14 00:00:32                0 IPC CPU used by this session                                              630,256          630,256
May-14 00:00:32          605,067 CPU used by this session                                                        0         -605,067
May-14 00:00:32          605,067 CPU used by this session                                                  630,256           25,189
May-14 00:00:32                0 global enqueue CPU used by this session                                         0                0
May-14 00:00:32                0 global enqueue CPU used by this session                                         0                0
May-14 00:00:32                0 global enqueue CPU used by this session                                         0                0
May-14 00:00:32                0 global enqueue CPU used by this session                                   630,256          630,256
May-14 00:00:32                0 gc CPU used by this session                                                     0                0
May-14 00:00:32                0 gc CPU used by this session                                                     0                0
May-14 00:00:32                0 gc CPU used by this session                                                     0                0
May-14 00:00:32                0 gc CPU used by this session                                               630,256          630,256
May-14 00:00:32                0 IPC CPU used by this session                                                    0                0
May-14 00:00:32                0 IPC CPU used by this session                                                    0                0
May-14 00:00:32                0 IPC CPU used by this session                                                    0                0
May-14 00:00:32          605,067 CPU used by this session                                                        0         -605,067
May-14 01:00:47          630,256 CPU used by this session                                                        0         -630,256
May-14 01:00:47                0 IPC CPU used by this session                                              655,437          655,437
May-14 01:00:47          630,256 CPU used by this session                                                        0         -630,256
May-14 01:00:47          630,256 CPU used by this session                                                  655,437           25,181
May-14 01:00:47                0 global enqueue CPU used by this session                                         0                0
May-14 01:00:47                0 global enqueue CPU used by this session                                         0                0
May-14 01:00:47                0 global enqueue CPU used by this session                                         0                0
May-14 01:00:47                0 global enqueue CPU used by this session                                   655,437          655,437
May-14 01:00:47                0 gc CPU used by this session                                                     0                0
May-14 01:00:47                0 gc CPU used by this session                                                     0                0
May-14 01:00:47                0 gc CPU used by this session                                                     0                0
May-14 01:00:47                0 gc CPU used by this session                                               655,437          655,437
May-14 01:00:47                0 IPC CPU used by this session                                                    0                0
May-14 01:00:47                0 IPC CPU used by this session                                                    0                0
May-14 01:00:47                0 IPC CPU used by this session                                                    0                0
May-14 01:00:47          630,256 CPU used by this session                                                        0         -630,256
May-14 02:01:02          655,437 CPU used by this session                                                        0         -655,437
May-14 02:01:02                0 IPC CPU used by this session                                              680,564          680,564
May-14 02:01:02          655,437 CPU used by this session                                                        0         -655,437
May-14 02:01:02          655,437 CPU used by this session                                                  680,564           25,127
May-14 02:01:02                0 global enqueue CPU used by this session                                         0                0
May-14 02:01:02                0 global enqueue CPU used by this session                                         0                0
May-14 02:01:02                0 global enqueue CPU used by this session                                         0                0
May-14 02:01:02                0 global enqueue CPU used by this session                                   680,564          680,564
May-14 02:01:02                0 gc CPU used by this session                                                     0                0

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 02:01:02                0 gc CPU used by this session                                                     0                0
May-14 02:01:02                0 gc CPU used by this session                                                     0                0
May-14 02:01:02                0 gc CPU used by this session                                               680,564          680,564
May-14 02:01:02                0 IPC CPU used by this session                                                    0                0
May-14 02:01:02                0 IPC CPU used by this session                                                    0                0
May-14 02:01:02                0 IPC CPU used by this session                                                    0                0
May-14 02:01:02          655,437 CPU used by this session                                                        0         -655,437
May-14 03:00:16          680,564 CPU used by this session                                                        0         -680,564
May-14 03:00:16                0 IPC CPU used by this session                                              706,771          706,771
May-14 03:00:16          680,564 CPU used by this session                                                        0         -680,564
May-14 03:00:16          680,564 CPU used by this session                                                  706,771           26,207
May-14 03:00:16                0 global enqueue CPU used by this session                                         0                0
May-14 03:00:16                0 global enqueue CPU used by this session                                         0                0
May-14 03:00:16                0 global enqueue CPU used by this session                                         0                0
May-14 03:00:16                0 global enqueue CPU used by this session                                   706,771          706,771
May-14 03:00:16                0 gc CPU used by this session                                                     0                0
May-14 03:00:16                0 gc CPU used by this session                                                     0                0
May-14 03:00:16                0 gc CPU used by this session                                                     0                0
May-14 03:00:16                0 gc CPU used by this session                                               706,771          706,771
May-14 03:00:16                0 IPC CPU used by this session                                                    0                0
May-14 03:00:16                0 IPC CPU used by this session                                                    0                0
May-14 03:00:16                0 IPC CPU used by this session                                                    0                0
May-14 03:00:16          680,564 CPU used by this session                                                        0         -680,564
May-14 04:00:30          706,771 CPU used by this session                                                        0         -706,771
May-14 04:00:30                0 IPC CPU used by this session                                              732,310          732,310
May-14 04:00:30          706,771 CPU used by this session                                                        0         -706,771
May-14 04:00:30          706,771 CPU used by this session                                                  732,310           25,539
May-14 04:00:30                0 global enqueue CPU used by this session                                         0                0
May-14 04:00:30                0 global enqueue CPU used by this session                                         0                0
May-14 04:00:30                0 global enqueue CPU used by this session                                         0                0
May-14 04:00:30                0 global enqueue CPU used by this session                                   732,310          732,310
May-14 04:00:30                0 gc CPU used by this session                                                     0                0
May-14 04:00:30                0 gc CPU used by this session                                                     0                0
May-14 04:00:30                0 gc CPU used by this session                                                     0                0
May-14 04:00:30                0 gc CPU used by this session                                               732,310          732,310
May-14 04:00:30                0 IPC CPU used by this session                                                    0                0
May-14 04:00:30                0 IPC CPU used by this session                                                    0                0
May-14 04:00:30                0 IPC CPU used by this session                                                    0                0
May-14 04:00:30          706,771 CPU used by this session                                                        0         -706,771
May-14 05:00:46          732,310 CPU used by this session                                                        0         -732,310
May-14 05:00:46                0 IPC CPU used by this session                                              784,714          784,714
May-14 05:00:46          732,310 CPU used by this session                                                        0         -732,310
May-14 05:00:46          732,310 CPU used by this session                                                  784,714           52,404
May-14 05:00:46                0 global enqueue CPU used by this session                                         0                0
May-14 05:00:46                0 global enqueue CPU used by this session                                         0                0
May-14 05:00:46                0 global enqueue CPU used by this session                                         0                0
May-14 05:00:46                0 global enqueue CPU used by this session                                   784,714          784,714
May-14 05:00:46                0 gc CPU used by this session                                                     0                0
May-14 05:00:46                0 gc CPU used by this session                                                     0                0
May-14 05:00:46                0 gc CPU used by this session                                                     0                0
May-14 05:00:46                0 gc CPU used by this session                                               784,714          784,714
May-14 05:00:46                0 IPC CPU used by this session                                                    0                0
May-14 05:00:46                0 IPC CPU used by this session                                                    0                0
May-14 05:00:46                0 IPC CPU used by this session                                                    0                0
May-14 05:00:46          732,310 CPU used by this session                                                        0         -732,310
May-14 06:01:00          784,714 CPU used by this session                                                        0         -784,714
May-14 06:01:00                0 IPC CPU used by this session                                              809,918          809,918

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 06:01:00          784,714 CPU used by this session                                                        0         -784,714
May-14 06:01:00          784,714 CPU used by this session                                                  809,918           25,204
May-14 06:01:00                0 global enqueue CPU used by this session                                         0                0
May-14 06:01:00                0 global enqueue CPU used by this session                                         0                0
May-14 06:01:00                0 global enqueue CPU used by this session                                         0                0
May-14 06:01:00                0 global enqueue CPU used by this session                                   809,918          809,918
May-14 06:01:00                0 gc CPU used by this session                                                     0                0
May-14 06:01:00                0 gc CPU used by this session                                                     0                0
May-14 06:01:00                0 gc CPU used by this session                                                     0                0
May-14 06:01:00                0 gc CPU used by this session                                               809,918          809,918
May-14 06:01:00                0 IPC CPU used by this session                                                    0                0
May-14 06:01:00                0 IPC CPU used by this session                                                    0                0
May-14 06:01:00                0 IPC CPU used by this session                                                    0                0
May-14 06:01:00          784,714 CPU used by this session                                                        0         -784,714
May-14 07:00:15          809,918 CPU used by this session                                                        0         -809,918
May-14 07:00:15                0 IPC CPU used by this session                                              859,649          859,649
May-14 07:00:15          809,918 CPU used by this session                                                        0         -809,918
May-14 07:00:15          809,918 CPU used by this session                                                  859,649           49,731
May-14 07:00:15                0 global enqueue CPU used by this session                                         0                0
May-14 07:00:15                0 global enqueue CPU used by this session                                         0                0
May-14 07:00:15                0 global enqueue CPU used by this session                                         0                0
May-14 07:00:15                0 global enqueue CPU used by this session                                   859,649          859,649
May-14 07:00:15                0 gc CPU used by this session                                                     0                0
