id,engine,path,extension,bytes,sha256,kind,category,description,risk,has_header,parameters,secret_flags,target
postgres:README.md,postgres,README.md,.md,674,d68e139b18aca3e54dc14841b778417e45f6eb53cc46dc4b9097fcad1a8b4bc2,documentation,utilities,postgres utilities helper: README.,REVIEW,False,[],False,README.md
postgres:docs/diagnostics/sessions/database_events.txt,postgres,docs/diagnostics/sessions/database_events.txt,.txt,702,7345d1fb20ffc52028a298c5bee307da77d63eda5a2e63291004200d4653b7cc,documentation,diagnostics/sessions,postgres diagnostics/sessions helper: database events.,READ_ONLY,False,[],False,docs/diagnostics/sessions/database_events.txt
postgres:docs/utilities/c_commands.txt,postgres,docs/utilities/c_commands.txt,.txt,1008,40b6c294386f6d5b2f58c959d1ce626806dc612cc0cf92726177a6e255323977,documentation,utilities,postgres utilities helper: c commands.,CHANGES,True,[],False,docs/utilities/c_commands.txt
postgres:scripts/backup_recovery/README.md,postgres,scripts/backup_recovery/README.md,.md,296,abf8bb4fb1c9afcb39031a3243ccbe3a3ffcf9d48190a530af8220bd73679e52,documentation,backup_recovery,postgres backup_recovery helper: README.,REVIEW,False,[],False,scripts/backup_recovery/README.md
postgres:scripts/backup_recovery/pg_dump.sh,postgres,scripts/backup_recovery/pg_dump.sh,.sh,876,153e4b6729d16a55568b18a67ce2043245012083501a9d2be33fa25b93d62938,script,backup_recovery,postgres backup_recovery helper: pg dump.,REVIEW,True,[],False,scripts/backup_recovery/pg_dump.sh
postgres:scripts/backup_recovery/s3_export_import_steps.sh,postgres,scripts/backup_recovery/s3_export_import_steps.sh,.sh,4499,4f8dc5d92a9e98164147f577e02774c53fe0a956bf4b0aba61f7062e955a6047,script,backup_recovery,postgres backup_recovery helper: s3 export import steps.,CHANGES,True,"['AbortMultipartUpload', 'AssumeRole', 'GetObject', 'ListBucket', 'PutObject', 'SourceAccount', 'SourceArn', 'aws', 'db', 'iam', 'pglab', 'policy', 'rds', 'role', 's3', 'us']",False,scripts/backup_recovery/s3_export_import_steps.sh
postgres:scripts/diagnostics/sessions/README.md,postgres,scripts/diagnostics/sessions/README.md,.md,572,525c73fa14c2fc3816f0c57c2abf646280d4ec7b1e5e454d18a0ed0c2bbe9ae3,documentation,diagnostics/sessions,postgres diagnostics/sessions helper: README.,REVIEW,False,[],False,scripts/diagnostics/sessions/README.md
postgres:scripts/diagnostics/sessions/autovacuum_pg_stat_activity.sql,postgres,scripts/diagnostics/sessions/autovacuum_pg_stat_activity.sql,.sql,1073,a39befd89ee8e88605fcbeee8877f57d72f001c06f28129d608f29aefa8e236b,script,diagnostics/sessions,postgres diagnostics/sessions helper: autovacuum pg stat activity.,CHANGES,True,[],False,scripts/diagnostics/sessions/autovacuum_pg_stat_activity.sql
postgres:scripts/diagnostics/sessions/current_query_pid.sql,postgres,scripts/diagnostics/sessions/current_query_pid.sql,.sql,818,963e2274d500da9f407483336f38f278bf1b1e37b8a67df49a09cee77f8b8f03,script,diagnostics/sessions,postgres diagnostics/sessions helper: current query pid.,READ_ONLY,True,['pid'],False,scripts/diagnostics/sessions/current_query_pid.sql
postgres:scripts/diagnostics/sessions/kill_session.sql,postgres,scripts/diagnostics/sessions/kill_session.sql,.sql,822,9c1c4cddcd762a3466cc563b7b90efd89be81c9ebc05f4a24a945f1d3a4591ef,script,diagnostics/sessions,postgres diagnostics/sessions helper: kill session.,DESTRUCTIVE,True,[],False,scripts/diagnostics/sessions/kill_session.sql
